cable_name,rfs,cable_length,owners,suppliers,submarine_networks_url,submarine_cable_map_url
2africa,2024,"45,000 km",Bayobab -  China Mobile -  Meta -  Orange -  Saudi Telecom -  Telecom Egypt -  Vodafone -  WIOCC,ASN,https://www.2africacable.net/,https://www.submarinecablemap.com/submarine-cable/2africa
5-villages-6-islands,2019,355 km,Tokyo Metropolitan Government,NEC,Not Given,https://www.submarinecablemap.com/submarine-cable/5-villages-6-islands
acs-alaska-oregon-network-akorn,2009 April,"3,000 km",Alaska Communications,SubCom,https://www.alaskacommunications.com/,https://www.submarinecablemap.com/submarine-cable/acs-alaska-oregon-network-akorn
aden-djibouti,1994,269 km,Djibouti Telecom -  Orange -  Sparkle -  Tata Communications -  TeleYemen,ASN,https://www.teleyemen.com.ye/,https://www.submarinecablemap.com/submarine-cable/aden-djibouti
adria-1,1996 September,440 km,ALBtelecom -  Hrvatski Telekom,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/adria-1
aec-1,2016 January,"5,521 km",Aqua Comms,SubCom,https://aquacomms.com/,https://www.submarinecablemap.com/submarine-cable/aec-1
africa-1,2025,"10,000 km",Etisalat UAE -  G42 -  Mobily -  Omantel -  Pakistan Telecommunications Company Ltd. -  TeleYemen -  Telecom Egypt,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/africa-1
africa-coast-to-europe-ace,2012 December,"17,000 km",Bayobab -  Cable Consortium of Liberia -  Canalink -  Dolphin Telecom -  GUILAB -  Gambia Submarine Cable Company -  International Mauritania Telecom -  Orange -  Orange Cameroun -  Orange Cote d’Ivoire -  Orange Mali -  Republic of Cameroon -  Republic of Equatorial Guinea -  Republic of Gabon -  Republic of Guinea Bissau -  SBIN (Société Béninoise des Infrastructures Numériques du Bénin) -  STP Cabo -  Sierra Leone Cable Company -  Sonatel -  Zamani Telecom,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/africa-coast-to-europe-ace
airraq,2025 Q1,680 km,Unicom -  Inc.,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/airraq
alaska-united-east-au-east,1999 February,"3,751 km",GCI Communication Corp,SubCom,https://www.gci.com/,https://www.submarinecablemap.com/submarine-cable/alaska-united-east-au-east
alaska-united-southeast-au-se,2008 November,626 km,GCI Communication Corp,SubCom,https://www.gci.com/,https://www.submarinecablemap.com/submarine-cable/alaska-united-southeast-au-se
alaska-united-turnagain-arm-auta,2012,53 km,GCI Communication Corp,https://www.gci.com/,Not Given,https://www.submarinecablemap.com/submarine-cable/alaska-united-turnagain-arm-auta
alaska-united-west-au-west,2004 June,"2,485 km",GCI Communication Corp,NEC,https://www.gci.com/,https://www.submarinecablemap.com/submarine-cable/alaska-united-west-au-west
alba-1,2012 August,"1,860 km",Telecom Venezuela -  Transbit,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/alba-1
aletar,1997 April,787 km,Liban Telecom -  Syrian Telecommunications Establishment -  Telecom Egypt,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/aletar
almera-melilla-alme,1990,198 km,Telefonica,Nexans,https://www.telefonica.com/,https://www.submarinecablemap.com/submarine-cable/almera-melilla-alme
alonso-de-ojeda,1999,128 km,Setar,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/alonso-de-ojeda
alpal-2,2002 July,312 km,Algerie Telecom -  Orange -  Sparkle -  Telxius,Prysmian,Not Given,https://www.submarinecablemap.com/submarine-cable/alpal-2
america-movil-submarine-cable-system-1-amx-1,2014,"17,800 km",América Móvil (Claro),ASN,http://www.americamovil.com/,https://www.submarinecablemap.com/submarine-cable/america-movil-submarine-cable-system-1-amx-1
american-1,1999,140 km,Bell Canada -  Ledcor Industries Inc. -  Rogers Communications -  Zayo,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/american-1
americas-i-north,1994 September,"2,012 km",AT&T,SubCom,Not Given,https://www.submarinecablemap.com/submarine-cable/americas-i-north
americas-ii,2000 August,"8,373 km",AT&T -  Altice Portugal -  CANTV -  Cogent -  Corporacion Nacional de Telecomunicaciones (CNT) -  Embratel -  Liberty Latin America (LLA) -  Lumen -  Orange -  Sparkle -  Tata Communications -  Verizon,SubCom,Not Given,https://www.submarinecablemap.com/submarine-cable/americas-ii
amerigo-vespucci,1999,85 km,Antelecom,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/amerigo-vespucci
amitie,2023 July,"6,792 km",Aqua Comms -  Meta -  Microsoft -  Orange -  Vodafone,ASN,Not Given,https://www.submarinecablemap.com/submarine-cable/amitie
andromeda,2026,n.a.,Grid Telecom -  Tamares Telecom,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/andromeda
anjana,2025 Q1,"7,121 km",Meta,NEC,https://about.meta.com/,https://www.submarinecablemap.com/submarine-cable/anjana
antillas-1,1997 June,650 km,Altice Dominicana -  Antelecom -  Claro Dominicana (Codetel) -  Liberty Latin America (LLA) -  Setar,SubCom,Not Given,https://www.submarinecablemap.com/submarine-cable/antillas-1
apcn-2,2001 December,"19,000 km",AT&T -  BT -  China Telecom -  China Unicom -  Chunghwa Telecom -  HKBN -  KDDI -  KT -  LG Uplus -  NTT -  Orange -  PCCW -  PLDT -  Singtel -  Singtel Optus -  Softbank Corp -  Starhub -  Tata Communications -  Telekom Malaysia -  Telstra -  Verizon -  Vodafone,NEC,Not Given,https://www.submarinecablemap.com/submarine-cable/apcn-2
apollo,2003 February,"13,000 km",Vodafone,ASN,http://www.vodafone.com/business/article-cs-apollo-submarine-cable-system,https://www.submarinecablemap.com/submarine-cable/apollo
apollo-east-and-west,2025 Q2,670 km,Grid Telecom,https://www.grid-telecom.com/,Not Given,https://www.submarinecablemap.com/submarine-cable/apollo-east-and-west
apricot,2026,"11,972 km",Chunghwa Telecom -  Google -  Meta -  NTT -  PLDT,SubCom,Not Given,https://www.submarinecablemap.com/submarine-cable/apricot
aqualink,2001 December,n.a.,One NZ,Not Given,Not Given,https://www.submarinecablemap.com/submarine-cable/aqualink
